Date & Time,Use [MW],Gen [MW],Grid [MW],Solar [MW],Wind [MW]
8/31/2011 23:59,2,-0.0031875,2.0031875,-0.0031875,0
09-01-11 00:00,2,-0.003520834,2.003520834,-0.003520834,0
09-01-11 00:01,2,-0.003270834,2.003270834,-0.003270834,0
09-01-11 00:02,2,-0.003458334,2.003458334,-0.003458334,0
09-01-11 00:03,2,-0.003479166,2.003479166,-0.003479166,0
09-01-11 00:04,2,-0.003520834,2.003520834,-0.003520834,0
09-01-11 00:05,2,-0.0038125,2.0038125,-0.0038125,0
09-01-11 00:06,2,-0.003604166,2.003604166,-0.003604166,0
09-01-11 00:07,2,-0.003625,2.003625,-0.003625,0
09-01-11 00:08,2,-0.003791666,2.003791666,-0.003791666,0
09-01-11 00:09,2,-0.003291666,2.003291666,-0.003291666,0
09-01-11 00:10,2,-0.003583334,2.003583334,-0.003583334,0
09-01-11 00:11,2,-0.003520834,2.003520834,-0.003520834,0
09-01-11 00:12,2,-0.0035,2.0035,-0.0035,0
09-01-11 00:13,2,-0.003291666,2.003291666,-0.003291666,0
09-01-11 00:14,2,-0.0030625,2.0030625,-0.0030625,0
09-01-11 00:15,2,-0.0034375,2.0034375,-0.0034375,0
09-01-11 00:16,2,-0.003645834,2.003645834,-0.003645834,0
09-01-11 00:17,2,-0.003729166,2.003729166,-0.003729166,0
09-01-11 00:18,2,-0.0043125,2.0043125,-0.0043125,0
09-01-11 00:19,2,-0.003979166,2.003979166,-0.003979166,0
09-01-11 00:20,2,-0.004291666,2.004291666,-0.004291666,0
09-01-11 00:21,2,-0.0043125,2.0043125,-0.0043125,0
09-01-11 00:22,2,-0.004270834,2.004270834,-0.004270834,0
09-01-11 00:23,2,-0.004145834,2.004145834,-0.004145834,0
09-01-11 00:24,2,-0.004041666,2.004041666,-0.004041666,0
09-01-11 00:25,2,-0.004333334,2.004333334,-0.004333334,0
09-01-11 00:26,2,-0.004229166,2.004229166,-0.004229166,0
09-01-11 00:27,2,-0.003708334,2.003708334,-0.003708334,0
09-01-11 00:28,2,-0.003166666,2.003166666,-0.003166666,0
09-01-11 00:29,2,-0.003270834,2.003270834,-0.003270834,0
09-01-11 00:30,2,-0.003208334,2.003208334,-0.003208334,0
09-01-11 00:31,2,-0.003583334,2.003583334,-0.003583334,0
09-01-11 00:32,2,-0.003395834,2.003395834,-0.003395834,0
09-01-11 00:33,2,-0.003270834,2.003270834,-0.003270834,0
09-01-11 00:34,2,-0.003395834,2.003395834,-0.003395834,0
09-01-11 00:35,2,-0.003583334,2.003583334,-0.003583334,0
09-01-11 00:36,2,-0.003354166,2.003354166,-0.003354166,0
09-01-11 00:37,2,-0.003625,2.003625,-0.003625,0
09-01-11 00:38,2,-0.003645834,2.003645834,-0.003645834,0
09-01-11 00:39,2,-0.003458334,2.003458334,-0.003458334,0
09-01-11 00:40,2,-0.003604166,2.003604166,-0.003604166,0
09-01-11 00:41,2,-0.003354166,2.003354166,-0.003354166,0
09-01-11 00:42,2,-0.003645834,2.003645834,-0.003645834,0
09-01-11 00:43,2,-0.004208334,2.004208334,-0.004208334,0
09-01-11 00:44,2,-0.004229166,2.004229166,-0.004229166,0
09-01-11 00:45,2,-0.004395834,2.004395834,-0.004395834,0
09-01-11 00:46,2,-0.00425,2.00425,-0.00425,0
09-01-11 00:47,2,-0.0043125,2.0043125,-0.0043125,0
09-01-11 00:48,2,-0.004020834,2.004020834,-0.004020834,0
09-01-11 00:49,2,-0.004083334,2.004083334,-0.004083334,0
09-01-11 00:50,2,-0.004375,2.004375,-0.004375,0
09-01-11 00:51,2,-0.004270834,2.004270834,-0.004270834,0
09-01-11 00:52,2,-0.004125,2.004125,-0.004125,0
09-01-11 00:53,2,-0.003354166,2.003354166,-0.003354166,0
09-01-11 00:54,2,-0.003375,2.003375,-0.003375,0
09-01-11 00:55,2,-0.003541666,2.003541666,-0.003541666,0
09-01-11 00:56,2,-0.003583334,2.003583334,-0.003583334,0
09-01-11 00:57,2,-0.003791666,2.003791666,-0.003791666,0
09-01-11 00:58,2,-0.003520834,2.003520834,-0.003520834,0
09-01-11 00:59,2,-0.003520834,2.003520834,-0.003520834,0
09-01-11 01:00,2,-0.003604166,2.003604166,-0.003604166,0
09-01-11 01:01,2,-0.003395834,2.003395834,-0.003395834,0
09-01-11 01:02,2,-0.003375,2.003375,-0.003375,0
09-01-11 01:03,2,-0.003416666,2.003416666,-0.003416666,0
09-01-11 01:04,2,-0.003604166,2.003604166,-0.003604166,0
09-01-11 01:05,2,-0.0038125,2.0038125,-0.0038125,0
09-01-11 01:06,2,-0.0045625,2.0045625,-0.0045625,0
09-01-11 01:07,2,-0.0041875,2.0041875,-0.0041875,0
09-01-11 01:08,2,-0.004604166,2.004604166,-0.004604166,0
09-01-11 01:09,2,-0.0043125,2.0043125,-0.0043125,0
09-01-11 01:10,2,-0.004416666,2.004416666,-0.004416666,0
09-01-11 01:11,2,-0.003958334,2.003958334,-0.003958334,0
09-01-11 01:12,2,-0.004395834,2.004395834,-0.004395834,0
09-01-11 01:13,2,-0.004229166,2.004229166,-0.004229166,0
09-01-11 01:14,2,-0.004458334,2.004458334,-0.004458334,0
09-01-11 01:15,2,-0.0040625,2.0040625,-0.0040625,0
09-01-11 01:16,2,-0.00425,2.00425,-0.00425,0
09-01-11 01:17,2,-0.004104166,2.004104166,-0.004104166,0
09-01-11 01:18,2,-0.003375,2.003375,-0.003375,0
09-01-11 01:19,2,-0.004,2.004,-0.004,0
09-01-11 01:20,2,-0.003729166,2.003729166,-0.003729166,0
09-01-11 01:21,2,-0.003395834,2.003395834,-0.003395834,0
09-01-11 01:22,2,-0.003875,2.003875,-0.003875,0
09-01-11 01:23,2,-0.0038125,2.0038125,-0.0038125,0
09-01-11 01:24,2,-0.003270834,2.003270834,-0.003270834,0
09-01-11 01:25,2,-0.0033125,2.0033125,-0.0033125,0
09-01-11 01:26,2,-0.003583334,2.003583334,-0.003583334,0
09-01-11 01:27,2,-0.003791666,2.003791666,-0.003791666,0
09-01-11 01:28,2,-0.004229166,2.004229166,-0.004229166,0
09-01-11 01:29,2,-0.0045,2.0045,-0.0045,0
09-01-11 01:30,2,-0.004208334,2.004208334,-0.004208334,0
09-01-11 01:31,2,-0.0041875,2.0041875,-0.0041875,0
09-01-11 01:32,2,-0.004458334,2.004458334,-0.004458334,0
09-01-11 01:33,2,-0.004291666,2.004291666,-0.004291666,0
